group	word	cluster	sonDiff	corr_file	comparison_file	repair	whoIsCorrect	sylls
6	plate	pl	3	boo-plate1.wav	tee-late2.wav	init_del	boo	1
2	plate	pl	3	boo-plate1.wav	tee-late2.wav	init_del	boo	1
1	slide	sl	2	boo-slide2.wav	tee-lide1.wav	init_del	boo	1
5	slide	sl	2	boo-slide2.wav	tee-lide1.wav	init_del	boo	1
1	flip	fl	2	boo-flip3.wav	tee-lip1.wav	init_del	boo	1
5	flip	fl	2	boo-flip3.wav	tee-lip1.wav	init_del	boo	1
8	clock	kl	3	boo-clock2.wav	tee-lock2.wav	init_del	boo	1
4	clock	kl	3	boo-clock2.wav	tee-lock2.wav	init_del	boo	1
4	closet	kl	3	boo-closet2.wav	tee-loset1.wav	init_del	boo	2
8	closet	kl	3	boo-closet2.wav	tee-loset1.wav	init_del	boo	2
5	flower	fl	2	boo-flower1.wav	tee-lower2.wav	init_del	boo	2
1	flower	fl	2	boo-flower1.wav	tee-lower2.wav	init_del	boo	2
6	music	mj	2	boo-mjusic1.wav	tee-mEjusic2.wav	med_epen	boo	2
2	music	mj	2	boo-mjusic1.wav	tee-mEjusic2.wav	med_epen	boo	2
8	smoke	sm	1	boo-smoke2.wav	tee-moke2.wav	init_del	boo	1
4	smoke	sm	1	boo-smoke2.wav	tee-moke2.wav	init_del	boo	1
8	music	mj	2	boo-mjusic1.wav	tee-music2.wav	med_del	boo	2
4	music	mj	2	boo-mjusic1.wav	tee-music2.wav	med_del	boo	2
3	snake	sn	1	boo-snake2.wav	tee-nake2.wav	init_del	boo	1
7	snake	sn	1	boo-snake2.wav	tee-nake2.wav	init_del	boo	1
7	snowman	sn	1	boo-snowman2.wav	tee-nowman1.wav	init_del	boo	2
3	snowman	sn	1	boo-snowman2.wav	tee-nowman1.wav	init_del	boo	2
8	spoon	sp	-1	boo-spoon1.wav	tee-poon1.wav	init_del	boo	1
4	spoon	sp	-1	boo-spoon1.wav	tee-poon1.wav	init_del	boo	1
2	freezer	fr	2	boo-freezer2.wav	tee-reezer2.wav	init_del	boo	2
6	freezer	fr	2	boo-freezer2.wav	tee-reezer2.wav	init_del	boo	2
6	frog	fr	2	boo-frog2.wav	tee-rog2.wav	init_del	boo	1
2	frog	fr	2	boo-frog2.wav	tee-rog2.wav	init_del	boo	1
1	spaceship	sp	-1	boo-spaceship1.wav	tee-saceship1.wav	med_del	boo	2
5	spaceship	sp	-1	boo-spaceship1.wav	tee-saceship1.wav	med_del	boo	2
6	sleeping	sl	2	boo-sleeping1.wav	tee-seeping2.wav	med_del	boo	2
2	sleeping	sl	2	boo-sleeping1.wav	tee-seeping2.wav	med_del	boo	2
8	sleeping	sl	2	boo-sleeping1.wav	tee-sEleeping2.wav	med_epen	boo	2
4	sleeping	sl	2	boo-sleeping1.wav	tee-sEleeping2.wav	med_epen	boo	2
3	smile	sm	1	boo-smile1.wav	tee-sEmile1.wav	med_epen	boo	2
7	smile	sm	1	boo-smile1.wav	tee-sEmile1.wav	med_epen	boo	2
3	spaceship	sp	-1	boo-spaceship1.wav	tee-sEpaceship1.wav	med_epen	boo	2
7	spaceship	sp	-1	boo-spaceship1.wav	tee-sEpaceship1.wav	med_epen	boo	2
1	swimming	sw	3	boo-swimming1.wav	tee-sEwimming2.wav	med_epen	boo	2
5	swimming	sw	3	boo-swimming1.wav	tee-sEwimming2.wav	med_epen	boo	2
1	smile	sm	1	boo-smile1.wav	tee-sile2.wav	med_del	boo	2
5	smile	sm	1	boo-smile1.wav	tee-sile2.wav	med_del	boo	2
3	swimming	sw	3	boo-swimming1.wav	tee-simming2.wav	med_del	boo	2
7	swimming	sw	3	boo-swimming1.wav	tee-simming2.wav	med_del	boo	2
6	swing	sw	3	boo-swing2.wav	tee-wing1.wav	init_del	boo	1
2	swing	sw	3	boo-swing2.wav	tee-wing1.wav	init_del	boo	1
